  n  player  taxman  diff
681  100691  131530   30839
682  100691  132212   31521
683  101368  132218   30850
684  101368  132902   31534
685  101779  133176   31397
686  101709  133932   32223
687  102163  134165   32002
688  102507  134509   32002
689  103090  134615   31525
690  103160  135235   32075
691  103843  135243   31400
692  103843  135935   32092
693  104248  136223   31975
694  104248  136917   32669
695  104665  137195   32530
696  105013  137543   32530
697  105546  137707   32161
698  105546  138405   32859
699  106004  138646   32642
700  106744  138606   31862
701  107435  138616   31181
702  107435  139318   31883
703  108064  139392   31328
704  108416  139744   31328
705  108839  140026   31187
706  108839  140732   31893
707  109344  140934   31590
708  109816  141170   31354
709  110517  141178   30661
710  110517  141888   31371
711  110517  142599   32082
712  110873  142955   32082
713  111462  143079   31617
714  111462  143793   32331
715  111462  144508   33046
716  111462  145224   33762
717  111928  145475   33547
718  111928  146193   34265
719  112637  146203   33566
720  113201  146359   33158
721  113716  146565   32849
722  113716  147287   33571
723  114194  147532   33338
724  114194  148256   34062
725  114539  148636   34097
726  114539  149362   34823
727  115258  149370   34112
728  115258  150098   34840
729  115236  150849   35613
730  115236  151579   36343
731  115795  151751   35956
732  116283  151995   35712
733  117010  152001   34991
734  117010  152735   35725
735  117010  153470   36460
736  117010  154206   37196
737  117479  154474   36995
738  117479  155212   37733
739  118212  155218   37006
740  118580  155590   37010
741  118580  156331   37751
742  118474  157179   38705
743  119213  157183   37970
744  119585  157555   37970
745  120032  157853   37821
746  120032  158599   38567
747  120032  159346   39314
748  119998  160128   40130
749  120533  160342   39809
750  120645  160980   40335
751  121388  160988   39600
752  121764  161364   39600
753  122246  161635   39389
754  122246  162389   40143
755  122699  162691   39992
756  122863  163283   40420
757  123614  163289   39675
758  123614  164047   40433
759  125427  162993   37566
760  125807  163373   37566
761  126564  163377   36813
762  126564  164139   37575
763  127109  164357   37248
764  127109  165121   38012
765  127908  165087   37179
766  127908  165853   37945
767  128557  165971   37414
768  128941  166355   37414
769  129702  166363   36661
770  129592  167243   37651
771  130094  167512   37418
772  130094  168284   38190
773  130863  168288   37425
774  130863  169062   38199
775  130863  169837   38974
776  131251  170225   38974
777  131650  170603   38953
778  131650  171381   39731
779  131650  172160   40510
780  132126  172464   40338
781  132623  172748   40125
782  132623  173530   40907
783  132739  174197   41458
784  132739  174981   42242
785  133210  175295   42085
786  133210  176081   42871
787  133983  176095   42112
788  133983  176883   42900
789  134497  177158   42661
790  134497  177948   43451
791  135062  178174   43112
792  135062  178966   43904
793  135733  179088   43355
794  135733  179882   44149
795  136580  179830   43250
796  136580  180626   44046
797  137367  180636   43269
798  137367  181434   44067
799  138675  180925   42250
800  138675  181725   43050
801  138675  182526   43851
802  138675  183328   44653
803  139186  183620   44434
804  139722  183888   44166
805  140752  183663   42911
806  140752  184469   43717
807  141278  184750   43472
808  141682  185154   43472
809  142479  185166   42687
810  142479  185976   43497
811  143288  185978   42690
812  142824  187254   44430
813  143362  187529   44167
814  143362  188343   44981
815  143851  188669   44818
816  144259  189077   44818
817  144990  189163   44173
818  144990  189981   44991
819  145290  190500   45210
820  145290  191320   46030
821  146101  191330   45229
822  146101  192152   46051
823  146922  192154   45232
824  147334  192566   45232
825  146929  193796   46867
826  146811  194740   47929
827  147634  194744   47110
828  147634  195572   47938
829  148461  195574   47113
830  148461  196404   47943
831  149003  196693   47690
832  149419  197109   47690
833  149419  197942   48523
834  149419  198776   49357
835  149920  199110   49190
836  149882  199984   50102
837  150441  200262   49821
838  150441  201100   50659
839  151270  201110   49840
840  151690  201530   49840
841  152357  201704   49347
842  152357  202546   50189
843  152911  202835   49924
844  152911  203679   50768
845  152911  204524   51613
846  152911  205370   52459
847  153450  205678   52228
848  153874  206102   52228
849  154436  206389   51953
850  155154  206521   51367
851  155857  206669   50812
852  156425  206953   50528
853  157264  206967   49703
854  157142  207943   50801
855  158035  207905   49870
856  158463  208333   49870
857  159316  208337   49021
858  159316  209195   49879
859  160173  209197   49024
860  160173  210057   49884
861  160173  210918   50745
862  160173  211780   51607
863  161032  211784   50752
864  161464  212216   50752
865  161983  212562   50579
866  161983  213428   51445
867  162425  213853   51428
868  162277  214869   52592
869  162830  215185   52355
870  163160  215725   52565
871  163897  215859   51962
872  164333  216295   51962
873  164333  217168   52835
874  164333  218042   53709
875  165894  217356   51462
876  166478  217648   51170
877  167341  217662   50321
878  167341  218540   51199
879  167907  218853   50946
880  169119  218521   49402
881  169996  218525   48529
882  169996  219407   49411
883  170877  219409   48532
884  170877  220293   49416
885  171818  220237   48419
886  171818  221123   49305
887  172701  221127   48426
888  173145  221571   48426
889  173780  221825   48045
890  173780  222715   48935
891  173384  224002   50618
892  173384  224894   51510
893  173384  225787   52403
894  173384  226681   53297
